accession;organism;description;basepairs;date;country;plasmid_name;plasmid_type;inc_type;transposon;beta-lactamases;beta-lactamases_range;kpc_type;kpc_start;kpc_end;integronfinder
JN233705.2;Klebsiella pneumoniae;strain ST258 plasmid pKpQIL-IT, complete sequence;116948;25-JUL-2016;unknown;pKpQIL-IT;60;IncFIB;[Tn3] ;KPC-3 TEM-181 OXA-9 ;[KPC-3: 8674 - 9555] [TEM-181: 110068 - 110928] [OXA-9: 111628 - 112452] ;KPC-3;8674;9555;[integron_01: 87556 - 87635] 
JN545009.1;Pseudomonas aeruginosa;plasmid pPA-2 beta-lactamase TEM (blaTEM) gene, partial cds carbapenemase KPC-2 (blaKPC-2) gene,;2534;25-JUL-2016;unknown;pPA-2;1;unknown;[unknown] ;KPC-8 ;[KPC-8: 359 - 1240] ;KPC-8;359;1240; No Integron found
JN974188.1;Klebsiella pneumoniae;plasmid KP529-1 transposon Tn4401d resolvase (tnpR) gene, complete cds, beta-lactamase (blaKPC) pseudogene,;4945;25-JUL-2016;unknown;KP529-1;1;unknown;[unknown] ;KPC-27 ;[KPC-27: 2494 - 2847] ;KPC-27;2494;2847; No Integron found
JQ837276.1;Enterobacter cloacae;strain 1623 plasmid pNE1280, complete sequence;67482;26-JUL-2016;unknown;pNE1280;119;IncL/M;[unknown] ;KPC-4 ;[KPC-4: 28044 - 28925] ;KPC-4;28044;28925; No Integron found
JX104759.1;Klebsiella pneumoniae;strain CRE79 plasmid pKPC-NY79, complete sequence;43054;26-JUL-2016;unknown;pKPC-NY79;76;IncX3;[Tn3] ;KPC-2 ;[KPC-2: 15115 - 15996] ;KPC-2;15115;15996; No Integron found
JX193301.1;Klebsiella pneumoniae;strain BK31551 plasmid pBK31551, complete sequence;84908;26-JUL-2016;USA;pBK31551;100;IncN;[Tn1721] [Tn3] ;KPC-4 TEM-90 ;[KPC-4: 54274 - 55155] [TEM-90: 60873 - 61733] ;KPC-4;54274;55155;[integron_01: 2449 - 4542] [integron_02: 26843 - 29532] 
JX193302.1;Klebsiella pneumoniae;strain BK31567 plasmid pBK31567, complete sequence;48064;26-JUL-2016;USA;pBK31567;117;unknown;[unknown] ;KPC-5 ;[KPC-5: 7099 - 7980] ;KPC-5;7099;7980;[integron_01: 18540 - 21470] 
JX283456.1;Klebsiella pneumoniae;strain ST101 plasmid pKPN101-IT, complete sequence;109288;26-JUL-2016;Italy;pKPN101-IT;85;unknown;[Tn3] ;KPC-2 TEM-181 OXA-9 ;[KPC-2: 8674 - 9555] [TEM-181: 77350 - 78210] [OXA-9: 75826 - 76650] ;KPC-2;8674;9555; No Integron found
JX397875.1;Klebsiella pneumoniae;strain Kpn-1433 plasmid pKP1433, complete sequence;56209;26-JUL-2016;unknown;pKP1433;129;unknown;[Tn3] ;KPC-2 ;[KPC-2: 15760 - 16641] ;KPC-2;15760;16641; No Integron found
JX430448.1;Klebsiella pneumoniae;strain BK32179 plasmid pBK32179, complete sequence;167657;26-JUL-2016;USA;pBK32179;7;IncFIB;[unknown] ;KPC-2 ;[KPC-2: 12624 - 13505] ;KPC-2;12624;13505; No Integron found
JX442975.1;Klebsiella pneumoniae;plasmid pKpQIL-LS6, complete sequence;79345;26-JUL-2016;unknown;pKpQIL-LS6;60;IncFIB;[Tn3] ;KPC-3 TEM-181 OXA-9 ;[KPC-3: 12608 - 13489] [TEM-181: 24675 - 25535] [OXA-9: 23151 - 23975] ;KPC-3;12608;13489;[integron_01: 47969 - 48048] 
JX461340.1;Klebsiella pneumoniae;strain KpS90 plasmid pKpS90, complete sequence;54048;26-JUL-2016;unknown;pKpS90;131;IncX3;[Tn3] ;KPC-2 SHV-12 ;[KPC-2: 5276 - 6157] [SHV-12: 10807 - 11667] ;KPC-2;5276;6157; No Integron found
JX500679.1;Klebsiella pneumoniae;strain UMM3 plasmid TnpR (tnpR), TnpA (tnpA), IstA (istA), IstB (istB), KPC-2;10155;26-JUL-2016;unknown;unnamed;1;unknown;[unknown] ;KPC-2 ;[KPC-2: 7202 - 8083] ;KPC-2;7202;8083; No Integron found
JX500680.1;Enterobacter sp.;01MGH049 plasmid TnpR (tnpR), TnpA (tnpA), IstA (istA), IstB (istB), KPC-2 (blaKPC-2),;10147;26-JUL-2016;unknown;unnamed;1;unknown;[unknown] ;KPC-3 ;[KPC-3: 7195 - 8076] ;KPC-3;7195;8076; No Integron found
JX500681.1;Escherichia coli;strain 233 plasmid TnpR (tnpR), TnpA (tnpA), IstA (istA), IstB (istB), KPC-3;10338;26-JUL-2016;unknown;unnamed;1;unknown;[unknown] ;KPC-3 ;[KPC-3: 7209 - 8090] ;KPC-3;7209;8090; No Integron found
JX524191.1;Klebsiella pneumoniae;strain BK13048 plasmid pBK13048 putative transposition helper protein (istB) gene, partial cds;1730;26-JUL-2016;USA;pBK13048;1;unknown;[unknown] ;KPC-14 ;[KPC-14: 396 - 1271] ;KPC-14;396;1271; No Integron found
JX966417.1;Klebsiella pneumoniae;strain K687-IPI plasmid beta-lactamase KPC (blaKPC) gene, partial cds;484;26-JUL-2016;unknown;unnamed;1;unknown;[unknown] ;KPC-29 ;[KPC-29: 1 - 475] ;KPC-29;1;475; No Integron found
KC355363.1;Aeromonas hydrophila;strain AH1 plasmid pN6, partial sequence;11631;26-JUL-2016;unknown;pN6;2;unknown;[Tn3] ;KPC-2 TEM-40 ;[KPC-2: 4303 - 5184] [TEM-40: 5406 - 5975] ;KPC-2;4303;5184; No Integron found
KC405622.1;Klebsiella pneumoniae;plasmid pKPC-LK30, complete sequence;87754;26-JUL-2016;unknown;pKPC-LK30;26;unknown;[Tn1721] [Tn3] ;KPC-2 SHV-159 ;[KPC-2: 65267 - 66148] [SHV-159: 56419 - 57279] ;KPC-2;65267;66148; No Integron found
KC433553.1;Klebsiella pneumoniae;strain kp1241 plasmid beta-lactamase KPC-15 gene, complete cds;895;26-JUL-2016;unknown;unnamed;1;unknown;[unknown] ;KPC-15 ;[KPC-15: 1 - 882] ;KPC-15;1;882; No Integron found
KC609322.1;Pseudomonas aeruginosa;strain ST1006 plasmid pPA-2, complete sequence;8110;26-JUL-2016;Colombia;pPA-2;135;IncU;[unknown] ;KPC-8 ;[KPC-8: 1238 - 2119] ;KPC-8;1238;2119; No Integron found
KC609323.1;Pseudomonas aeruginosa;strain ST308 plasmid pCOL-1, complete sequence;31980;26-JUL-2016;unknown;pCOL-1;144;IncP;[unknown] ;KPC-2 ;[KPC-2: 17140 - 18021] ;KPC-2;17140;18021; No Integron found
KC788405.1;Escherichia coli;strain LK-NARMP plasmid pKPC-LKEc, complete sequence;147479;26-JUL-2016;unknown;pKPC-LKEc;51;IncN;[Tn3] ;CMY-2 KPC-2 CTX-M-3 TEM-1 ;[CMY-2: 40122 - 41267] [KPC-2: 69148 - 70029] [CTX-M-3: 97040 - 97915] [TEM-1: 95393 - 96248] ;KPC-2;69148;70029; No Integron found
KC845573.1;Klebsiella pneumoniae;plasmid pBK15692, complete sequence;78913;26-JUL-2016;USA;pBK15692;104;unknown;[Tn3] ;KPC-3 TEM-181 OXA-9 ;[KPC-3: 61127 - 62008] [TEM-181: 74059 - 74919] [OXA-9: 72535 - 73359] ;KPC-3;61127;62008;[integron_01: 71012 - 73876] 
KC958437.1;Klebsiella pneumoniae;subsp. ozaenae plasmid pKo6, complete sequence;66486;26-JUL-2016;unknown;pKo6;121;IncN;[Tn3] ;KPC-2 CTX-M-3 TEM-1 ;[KPC-2: 5441 - 6322] [CTX-M-3: 43681 - 44556] [TEM-1: 42039 - 42899] ;KPC-2;5441;6322;[integron_01: 2194 - 3001] [integron_02: 6848 - 9395] [integron_03: 7599 - 8453] [integron_04: 35418 - 41135] 
KF017315.1;Klebsiella pneumoniae;plasmid pKP53IL genomic sequence;34243;26-JUL-2016;unknown;pKP53IL;16;unknown;[unknown] ;KPC-2 ;[KPC-2: 18173 - 19054] ;KPC-2;18173;19054; No Integron found
KF182187.1;Escherichia coli;plasmid pEC386IL genomic sequence;39886;26-JUL-2016;unknown;pEC386IL;68;unknown;[unknown] ;KPC-2 ;[KPC-2: 18174 - 19055] ;KPC-2;18174;19055; No Integron found
KF623109.1;Klebsiella pneumoniae;strain HS062105 plasmid pHS062105-3, complete sequence;43461;26-JUL-2016;China;pHS062105-3;7;unknown;[Tn1721] [Tn3] ;KPC-2 ;[KPC-2: 36830 - 37711] ;KPC-2;36830;37711; No Integron found
KF680002.1;Klebsiella pneumoniae;strain 27243D plasmid p12246J transposase (tnpA) gene, partial cds hypothetical protein, transposase;11579;26-JUL-2016;unknown;p12246J;71;unknown;[Tn1721] ;KPC-2 ;[KPC-2: 5451 - 6332] ;KPC-2;5451;6332; No Integron found
KF701335.1;Escherichia coli;strain HS102707 plasmid pHS102707, complete sequence;70446;26-JUL-2016;China;pHS102707;116;unknown;[Tn3] ;KPC-2 ;[KPC-2: 18100 - 18981] ;KPC-2;18100;18981; No Integron found
KF724506.1;Klebsiella pneumoniae;subsp. pneumoniae strain HS092839 plasmid pHS092839, partial sequence;15721;26-JUL-2016;China;pHS092839;116;unknown;[Tn3] [Tn21] ;KPC-2 ;[KPC-2: 8008 - 8889] ;KPC-2;8008;8889; No Integron found
KF724507.1;Klebsiella pneumoniae;subsp. pneumoniae strain HS082416 plasmid pHS082416, partial sequence;13100;26-JUL-2016;China;pHS082416;2;unknown;[Tn1721] [Tn3] ;KPC-2 ;[KPC-2: 7982 - 8863] ;KPC-2;7982;8863; No Integron found
KF826291.1;Escherichia coli;strain HS111288 plasmid pHS111288, partial sequence;14968;26-JUL-2016;China;pHS111288;2;unknown;[Tn1721] [Tn3] ;KPC-2 ;[KPC-2: 8196 - 9077] ;KPC-2;8196;9077; No Integron found
KF826292.1;Klebsiella pneumoniae;subsp. pneumoniae strain HS10505 plasmid pHS10505, partial sequence;15685;26-JUL-2016;China;pHS10505;2;unknown;[Tn1721] [Tn3] ;KPC-2 ;[KPC-2: 8582 - 9463] ;KPC-2;8582;9463; No Integron found
KF826293.1;Klebsiella pneumoniae;subsp. pneumoniae strain HS092753 plasmid pHS092753, partial sequence;13152;26-JUL-2016;China;pHS092753;2;unknown;[Tn1721] [Tn3] ;KPC-2 ;[KPC-2: 8033 - 8914] ;KPC-2;8033;8914; No Integron found
KF874496.1;Klebsiella pneumoniae;strain Kpn-1504 plasmid pGR-1504, complete sequence;115264;27-JUN-2016;unknown;pGR-1504;60;IncFIB;[Tn3] ;KPC-2 TEM-181 OXA-9 ;[KPC-2: 15984 - 16865] [TEM-181: 28051 - 28911] [OXA-9: 26527 - 27351] ;KPC-2;15984;16865;[integron_01: 51344 - 51423] 
KF874497.2;Klebsiella pneumoniae;strain Kpn-1780 plasmid pGR-1780, complete sequence;115246;27-JUN-2016;unknown;pGR-1780;60;IncFIB;[Tn3] ;KPC-2 TEM-181 OXA-9 ;[KPC-2: 15984 - 16865] [TEM-181: 28051 - 28911] [OXA-9: 26527 - 27351] ;KPC-2;15984;16865;[integron_01: 51326 - 51405] 
KF874498.1;Klebsiella pneumoniae;strain Kpn-1870 plasmid pGR-1870, complete sequence;117705;27-JUN-2016;unknown;pGR-1870;60;IncFIB;[Tn3] ;KPC-2 TEM-181 OXA-9 ;[KPC-2: 15984 - 16865] [TEM-181: 28051 - 28911] [OXA-9: 26527 - 27351] ;KPC-2;15984;16865;[integron_01: 51344 - 51423] 
KF874499.1;Klebsiella pneumoniae;strain Kpn-3913 plasmid pGR-3913, complete sequence;115264;27-JUN-2016;unknown;pGR-3913;60;IncFIB;[Tn3] ;KPC-2 TEM-181 OXA-9 ;[KPC-2: 15984 - 16865] [TEM-181: 28051 - 28911] [OXA-9: 26527 - 27351] ;KPC-2;15984;16865;[integron_01: 51344 - 51423] 
KF914891.1;Escherichia coli;strain ECN580 plasmid pECN580, complete sequence;65863;26-JUL-2016;China;pECN580;121;IncN;[Tn3] ;KPC-2 CTX-M-3 TEM-1 ;[KPC-2: 4662 - 5543] [CTX-M-3: 43067 - 43942] [TEM-1: 41425 - 42285] ;KPC-2;4662;5543;[integron_01: 1414 - 2221] [integron_02: 6234 - 8781] [integron_03: 6985 - 7839] [integron_04: 34804 - 40521] 
KF954759.1;Klebsiella pneumoniae;strain BK30661 plasmid pBK30661, complete sequence;74688;26-JUL-2016;USA;pBK30661;13;unknown;[Tn3] ;KPC-3 TEM-181 OXA-9 ;[KPC-3: 37750 - 38631] [TEM-181: 50614 - 51474] [OXA-9: 49090 - 49914] ;KPC-3;37750;38631;[integron_01: 47567 - 50431] [integron_02: 64865 - 66874] 
KF954760.1;Klebsiella pneumoniae;strain BK30683 plasmid pBK30683, complete sequence;141941;26-JUL-2016;USA;pBK30683;49;unknown;[Tn3] ;KPC-3 TEM-181 OXA-9 ;[KPC-3: 105742 - 106623] [TEM-181: 118606 - 119466] [OXA-9: 117082 - 117906] ;KPC-3;105742;106623;[integron_01: 115559 - 118423] [integron_02: 132858 - 134867] 
KJ146687.1;Klebsiella pneumoniae;strain BK30799 plasmid pKpQIL-10, complete sequence;115263;26-JUL-2016;USA;pKpQIL-10;60;IncFIB;[Tn3] ;KPC-2 TEM-181 OXA-9 ;[KPC-2: 12173 - 13054] [TEM-181: 24240 - 25100] [OXA-9: 22716 - 23540] ;KPC-2;12173;13054;[integron_01: 47533 - 47612] 
KJ146688.1;Escherichia coli;strain BK28960 plasmid pKpQIL-Ec, complete sequence;100559;26-JUL-2016;USA;pKpQIL-Ec;60;IncFIB;[Tn3] ;KPC-2 TEM-181 OXA-9 ;[KPC-2: 12173 - 13054] [TEM-181: 24240 - 25100] [OXA-9: 22716 - 23540] ;KPC-2;12173;13054;[integron_01: 33037 - 33116] 
KJ146689.1;Klebsiella pneumoniae;strain BK26633 plasmid pKpQIL-234, complete sequence;116100;26-JUL-2016;USA;pKpQIL-234;60;IncFIB;[Tn3] ;KPC-2 TEM-181 OXA-9 ;[KPC-2: 12173 - 13054] [TEM-181: 42843 - 43703] [OXA-9: 44403 - 45227] ;KPC-2;12173;13054;[integron_01: 48359 - 48438] 
KJ151293.1;Klebsiella pneumoniae;subsp. pneumoniae strain 354 plasmid KPC-2 gene, complete cds;904;26-JUL-2016;Cuba;unnamed;1;unknown;[unknown] ;KPC-2 ;[KPC-2: 10 - 891] ;KPC-2;10;891; No Integron found
KJ210592.1;Enterobacter aerogenes;strain HS112625 plasmid pHS112625, partial sequence;18444;26-JUL-2016;China;pHS112625;116;unknown;[Tn3] [Tn21] ;KPC-2 ;[KPC-2: 11325 - 12206] ;KPC-2;11325;12206; No Integron found
KJ510411.1;Klebsiella pneumoniae;subsp. pneumoniae strain Kpn460 plasmid KPN460IL transposon Tn4401g tnpA, blaTEM1, and blaKPC-2;4765;26-JUL-2016;Israel;KPN460IL;24;unknown;[unknown] ;KPC-2 TEM-1 ;[KPC-2: 3078 - 3959] [TEM-1: 1959 - 2819] ;KPC-2;3078;3959; No Integron found
KJ653815.1;Klebsiella pneumoniae;strain FOS18 plasmid pFOS18, complete sequence;24281;26-JUL-2016;unknown;pFOS18;146;unknown;[Tn3] [Tn21] ;KPC-2 ;[KPC-2: 8974 - 9855] ;KPC-2;8974;9855; No Integron found
KJ721789.1;Klebsiella pneumoniae;strain NJ HT1872 plasmid pUSKPC3, complete sequence;172200;26-JUL-2016;USA;pUSKPC3;34;unknown;[Tn3] ;KPC-3 ;[KPC-3: 109117 - 109998] ;KPC-3;109117;109998;[integron_01: 126962 - 128971] 
KJ721790.1;Klebsiella pneumoniae;strain TpeVGH151 plasmid pVGH151, complete sequence;115261;26-JUL-2016;Taiwan;pVGH151;60;IncFIB;[Tn3] ;KPC-3 TEM-181 OXA-9 ;[KPC-3: 12173 - 13054] [TEM-181: 24239 - 25099] [OXA-9: 22715 - 23539] ;KPC-3;12173;13054;[integron_01: 47531 - 47610] 
KJ933392.1;Escherichia coli;strain YD626E plasmid pYD626E, complete sequence;73840;17-JUN-2015;unknown;pYD626E;16;IncN;[Tn3] ;KPC-2 TEM-1 LAP-1 SHV-12 ;[KPC-2: 47841 - 48722] [TEM-1: 37978 - 38838] [LAP-1: 36939 - 37796] [SHV-12: 3559 - 4419] ;KPC-2;47841;48722;[integron_01: 28552 - 30645] 
KM076934.1;Klebsiella pneumoniae;strain KBu-1 plasmid pKBuS13 carbapenemase (blaKPC) gene, blaKPC-2 allele, complete cds;1362;08-SEP-2015;Italy;pKBuS13;1;unknown;[unknown] ;KPC-2 ;[KPC-2: 39 - 920] ;KPC-2;39;920; No Integron found
KM983022.1;Klebsiella pneumoniae;strain ABC220 plasmid pABC220 hypothetical protein gene, complete cds transposon Tn4401b, complete;11052;26-JUL-2016;unknown;pABC220;1;unknown;[unknown] ;KPC-2 ;[KPC-2: 7745 - 8626] ;KPC-2;7745;8626; No Integron found
KP008371.1;Klebsiella pneumoniae;strain 565 plasmid PKPCAPSS, complete sequence;129799;26-JUL-2016;unknown;PKPCAPSS;67;unknown;[Tn3] ;KPC-2 TEM-1 TEM-40 ;[KPC-2: 57562 - 58443] [TEM-1: 63206 - 64066] [TEM-40: 56782 - 57351] ;KPC-2;57562;58443; No Integron found
KP125892.1;Escherichia coli;strain HS10842 plasmid pHS10842, complete sequence;14114;26-JUL-2016;China;pHS10842;7;unknown;[Tn1721] [Tn3] ;KPC-2 ;[KPC-2: 8451 - 9332] ;KPC-2;8451;9332; No Integron found
KP345882.1;Escherichia coli;strain BK32533 plasmid pBK32533, complete sequence;245420;26-JUL-2016;USA;pBK32533;13;IncA/C2;[Tn21] [Tn3] ;FOX-5 KPC-3 CARB-2 TEM-181 OXA-9 ;[FOX-5: 199246 - 200394] [KPC-3: 37748 - 38629] [CARB-2: 98146 - 99012] [TEM-181: 50612 - 51472] [OXA-9: 49088 - 49912] ;KPC-3;37748;38629;[integron_01: 47565 - 50429] [integron_02: 64828 - 66873] [integron_03: 94422 - 100231] 
KP726894.1;Enterobacter cloacae;strain ECN49 plasmid pKPC-ECN49, complete sequence;41908;28-OCT-2015;China;pKPC-ECN49;7;unknown;[Tn3] ;KPC-2 ;[KPC-2: 3091 - 3972] ;KPC-2;3091;3972; No Integron found
KP868646.1;Enterobacter cloacae;strain WCHECl-14653 plasmid pKPC2-EC14653, complete sequence;89475;08-OCT-2015;unknown;pKPC2-EC14653;91;unknown;[Tn1721] [Tn3] ;KPC-2 TEM-40 ;[KPC-2: 5682 - 6563] [TEM-40: 5018 - 5587] ;KPC-2;5682;6563; No Integron found
KP870110.1;Escherichia coli;strain EC6335 plasmid RCPEC6335-2, partial sequence;5713;22-APR-2015;unknown;RCPEC6335-2;2;unknown;[unknown] ;KPC-5 TEM-11 ;[KPC-5: 1534 - 2415] [TEM-11: 3339 - 4199] ;KPC-5;1534;2415;[integron_01: 8 - 4199] 
KP893385.1;Klebsiella pneumoniae;subsp. pneumoniae strain KP1034 plasmid pKP1034, complete sequence;138803;01-AUG-2015;China;pKP1034;26;unknown;[Tn1721] [Tn3] ;KPC-2 CTX-M-65 SHV-12 TEM-1 ;[KPC-2: 124941 - 125822] [CTX-M-65: 72808 - 73683] [SHV-12: 116093 - 116953] [TEM-1: 82728 - 83588] ;KPC-2;124941;125822; No Integron found
KP987215.1;Citrobacter freundii;strain 112298 plasmid p112298-KPC, complete sequence;118964;20-AUG-2015;China;p112298-KPC;75;unknown;[Tn3] ;KPC-2 CTX-M-14 OXA-1 ;[KPC-2: 6232 - 7113] [CTX-M-14: 31819 - 32694] [OXA-1: 22423 - 23253] ;KPC-2;6232;7113;[integron_01: 20546 - 24928] 
KP987218.1;Klebsiella pneumoniae;strain 628 plasmid p628-KPC, complete sequence;106509;09-SEP-2015;China;p628-KPC;83;unknown;[Tn3] ;KPC-2 ;[KPC-2: 18859 - 19740] ;KPC-2;18859;19740; No Integron found
KR014106.1;Aeromonas hydrophila;strain WCHAH01 plasmid pKPC2, complete sequence;45087;31-DEC-2015;unknown;pKPC2;139;IncP;[] [Tn3] ;KPC-2 TEM-40 ;[KPC-2: 9900 - 10781] [TEM-40: 9109 - 9678] ;KPC-2;9900;10781; No Integron found
KR024809.1;Escherichia coli;strain FSEC264 plasmid beta-lactamase (blaKPC) gene, partial cds;546;22-SEP-2015;India;unnamed;1;unknown;[unknown] ;KPC-29 ;[KPC-29: 1 - 538] ;KPC-29;1;538; No Integron found
KR052097.1;Escherichia coli;strain UC327 plasmid, partial sequence;9854;15-JUL-2015;Chile;unnamed;71;unknown;[Tn3] ;KPC-2 TEM-40 ;[KPC-2: 5093 - 5974] [TEM-40: 4302 - 4871] ;KPC-2;5093;5974; No Integron found
KR052098.1;Klebsiella pneumoniae;strain UC330 plasmid transposon Tn4401a, partial sequence;10084;15-JUL-2015;Chile;unnamed;1;unknown;[unknown] ;KPC-2 ;[KPC-2: 7228 - 8109] ;KPC-2;7228;8109; No Integron found
KR052099.1;Klebsiella pneumoniae;strain UC331 plasmid, partial sequence;9976;15-JUL-2015;Chile;unnamed;139;unknown;[Tn3] ;KPC-24 TEM-40 ;[KPC-24: 5212 - 6093] [TEM-40: 4422 - 4991] ;KPC-24;5212;6093; No Integron found
KR052100.1;Klebsiella pneumoniae;strain UC332 plasmid, partial sequence;9190;15-JUL-2015;Chile;unnamed;91;unknown;[Tn3] ;KPC-2 TEM-40 ;[KPC-2: 4484 - 5365] [TEM-40: 3693 - 4262] ;KPC-2;4484;5365; No Integron found
KR052101.1;Klebsiella pneumoniae;strain UC334 plasmid, partial sequence;9237;15-JUL-2015;Chile;unnamed;91;unknown;[Tn3] ;KPC-2 TEM-40 ;[KPC-2: 4484 - 5365] [TEM-40: 3693 - 4262] ;KPC-2;4484;5365; No Integron found
KR052102.1;Klebsiella oxytoca;strain UC344 plasmid, partial sequence;9240;15-JUL-2015;Chile;unnamed;91;unknown;[Tn3] ;KPC-2 TEM-40 ;[KPC-2: 4486 - 5367] [TEM-40: 3695 - 4264] ;KPC-2;4486;5367; No Integron found
KR091915.1;Klebsiella pneumoniae;strain KPC-DK05 plasmid pKPC-DK05, complete sequence;57539;28-JUL-2015;unknown;pKPC-DK05;127;IncN;[unknown] ;KPC-4 ;[KPC-4: 29964 - 30845] ;KPC-4;29964;30845; No Integron found
KR872629.1;Citrobacter koseri;plasmid beta-lactamase (blaKPC) gene, partial cds;546;07-NOV-2015;India;unnamed;1;unknown;[unknown] ;KPC-29 ;[KPC-29: 1 - 538] ;KPC-29;1;538; No Integron found
KT148595.1;Klebsiella pneumoniae;subsp. pneumoniae strain GN1006 plasmid pKPC-SMH, complete sequence;54023;02-NOV-2015;unknown;pKPC-SMH;16;IncN3;[unknown] ;KPC-3 ;[KPC-3: 13663 - 14544] ;KPC-3;13663;14544; No Integron found
KT185451.1;Klebsiella pneumoniae;plasmid pCT-KPC strain LJ04, complete sequence;153630;20-DEC-2015;unknown;pCT-KPC;44;unknown;[Tn1721] [Tn3] ;KPC-2 CTX-M-65 SHV-12 TEM-1 ;[KPC-2: 85449 - 86330] [CTX-M-65: 26780 - 27655] [SHV-12: 76601 - 77461] [TEM-1: 16875 - 17735] ;KPC-2;85449;86330; No Integron found
KT362706.1;Klebsiella pneumoniae;strain ST512 plasmid p45-IncX3, complete sequence;64106;27-OCT-2015;unknown;p45-IncX3;76;IncX3;[Tn3] ;KPC-3 KPC-3 SHV-159 ;[KPC-3: 18921 - 19802] [KPC-3: 32316 - 33197] [SHV-159: 6514 - 7374] ;KPC-3;18921;19802; No Integron found
KT378596.1;Klebsiella pneumoniae;strain Kp512 plasmid transposon Tn4401a, complete sequence;10061;07-OCT-2015;unknown;unnamed;1;unknown;[unknown] ;KPC-3 ;[KPC-3: 7110 - 7991] ;KPC-3;7110;7991; No Integron found
KT378597.1;Klebsiella pneumoniae;strain Kp15 plasmid transposon Tn4401b, complete sequence;10161;07-OCT-2015;unknown;unnamed;1;unknown;[unknown] ;KPC-3 ;[KPC-3: 7208 - 8089] ;KPC-3;7208;8089; No Integron found
KT378598.1;Klebsiella pneumoniae;strain Kp252 plasmid transposon Tn4401b, complete sequence;10161;07-OCT-2015;unknown;unnamed;1;unknown;[unknown] ;KPC-3 ;[KPC-3: 7208 - 8089] ;KPC-3;7208;8089; No Integron found
KT922272.1;Klebsiella pneumoniae;strain 11201 plasmid pKP-2R, partial sequence;25792;23-MAR-2016;China;pKP-2R;41;unknown;[Tn1721] [Tn3] ;KPC-2 SHV-12 ;[KPC-2: 14620 - 15501] [SHV-12: 5852 - 6712] ;KPC-2;14620;15501; No Integron found
KT922274.1;Klebsiella pneumoniae;strain 11225 plasmid pKP-1R, partial sequence;12128;23-MAR-2016;China;pKP-1R;7;unknown;[Tn1721] ;KPC-2 ;[KPC-2: 9207 - 10088] ;KPC-2;9207;10088; No Integron found
KU176944.1;Citrobacter freundii;strain WCHCF65 plasmid pKPC2_CF65, complete sequence;41532;20-DEC-2015;unknown;pKPC2_CF65;36;unknown;[Tn3] ;KPC-2 TEM-1 ;[KPC-2: 36853 - 37734] [TEM-1: 36189 - 36758] ;KPC-2;36853;37734; No Integron found
KU216748.1;Klebsiella pneumoniae;strain JMI#21 plasmid carbapenem-hydrolyzing class A beta-lactamase KPC-25 (blaKPC) gene, blaKPC-25 allele,;900;15-DEC-2015;unknown;unnamed;1;unknown;[unknown] ;KPC-25 ;[KPC-25: 1 - 887] ;KPC-25;1;887; No Integron found
KU295131.1;Escherichia coli;strain BK28009 plasmid pBK28009, complete sequence;109300;21-MAR-2016;USA;pBK28009;84;IncY;[Tn3] ;KPC-3 TEM-1 ;[KPC-3: 82826 - 83707] [TEM-1: 72962 - 73822] ;KPC-3;82826;83707;[integron_01: 2783 - 4956] 
KU295132.1;Escherichia coli;strain BK34397 plasmid pBK34397, complete sequence;103371;21-MAR-2016;USA;pBK34397;88;unknown;[Tn1721] [Tn3] ;KPC-2 ;[KPC-2: 17647 - 18528] ;KPC-2;17647;18528; No Integron found
KU295133.1;Escherichia coli;strain BK33689 plasmid pBK33689, complete sequence;117359;21-MAR-2016;USA;pBK33689;60;IncFIB;[Tn3] ;KPC-2 TEM-181 OXA-9 ;[KPC-2: 12173 - 13054] [TEM-181: 24239 - 25099] [OXA-9: 22716 - 23540] ;KPC-2;12173;13054;[integron_01: 47532 - 47611] 
KU295134.1;Escherichia coli;strain BK32602 plasmid pBK32602, complete sequence;89239;21-MAR-2016;USA;pBK32602;96;IncN;[Tn3] ;KPC-3 TEM-181 OXA-9 ;[KPC-3: 63047 - 63928] [TEM-181: 30287 - 31147] [OXA-9: 31847 - 32671] ;KPC-3;63047;63928;[integron_01: 2560 - 4653] [integron_02: 31330 - 34194] 
KU295135.1;Escherichia coli;strain BK31611 plasmid pBK31611, complete sequence;16580;21-MAR-2016;USA;pBK31611;16;unknown;[Tn3] ;KPC-2 TEM-1 ;[KPC-2: 11256 - 12137] [TEM-1: 1394 - 2253] ;KPC-2;11256;12137; No Integron found
KU295136.1;Escherichia coli;strain BK28610 plasmid pBK28610, complete sequence;17168;21-MAR-2016;USA;pBK28610;16;unknown;[unknown] ;KPC-3 ;[KPC-3: 9085 - 9966] ;KPC-3;9085;9966; No Integron found
KU302800.1;Enterobacter cloacae;strain SZECL1 plasmid pKPC3_SZ, complete sequence;43953;15-MAR-2016;China;pKPC3_SZ;138;unknown;[Tn3] ;KPC-3 TEM-40 ;[KPC-3: 9216 - 10097] [TEM-40: 10192 - 10761] ;KPC-3;9216;10097; No Integron found
KU318419.1;Enterbacter aerogenes;strain EA49 plasmid pEA49-KPC, complete sequence;91642;18-JUL-2016;China;pEA49-KPC;93;unknown;[Tn1721] [Tn3] ;KPC-2 ;[KPC-2: 21255 - 22136] ;KPC-2;21255;22136;[integron_01: 12434 - 13724] 
